Run,Parameters,Execution_Time,#Triclusters,Coverage_Mean,Coverage_Std,Coverage,#Rows_Mean,#Rows_Std,#Cols_Mean,#COls_Std,#Ctxs_Mean,#Ctxs_Std,MSR_Mean,MSR_Std,MSR,Recoverability_Mean,Recoverability_Std,Recoverability,IntraTemporal_Homogeneity,InterTemporal_Homogeneity
19,"{'alpha': 1, 'delta': 0.05}",0.4910874366760254,2,0.098,0.082,"{1: 0.18, 2: 0.016}",nan,nan,nan,nan,nan,nan,178948636.19,3467440.879999995,"{1: 175481195.31, 2: 182416077.07}",nan,nan,{},"{1: 0.069, 2: 0.101}","{1: 0.464, 2: 0.799}"
20,"{'alpha': 1, 'delta': 0.1}",0.5017216205596924,2,0.098,0.082,"{1: 0.18, 2: 0.016}",nan,nan,nan,nan,nan,nan,178948636.19,3467440.879999995,"{1: 175481195.31, 2: 182416077.07}",nan,nan,{},"{1: 0.069, 2: 0.101}","{1: 0.464, 2: 0.799}"
21,"{'alpha': 1, 'delta': 0.5}",0.4932074546813965,2,0.098,0.082,"{1: 0.18, 2: 0.016}",nan,nan,nan,nan,nan,nan,178948636.19,3467440.879999995,"{1: 175481195.31, 2: 182416077.07}",nan,nan,{},"{1: 0.069, 2: 0.101}","{1: 0.464, 2: 0.799}"
22,"{'alpha': 1, 'delta': 1}",0.4774353504180908,2,0.098,0.082,"{1: 0.18, 2: 0.016}",nan,nan,nan,nan,nan,nan,178948636.19,3467440.879999995,"{1: 175481195.31, 2: 182416077.07}",nan,nan,{},"{1: 0.069, 2: 0.101}","{1: 0.464, 2: 0.799}"
23,"{'alpha': 1, 'delta': 1.5}",0.48235583305358887,2,0.098,0.082,"{1: 0.18, 2: 0.016}",nan,nan,nan,nan,nan,nan,178948636.19,3467440.879999995,"{1: 175481195.31, 2: 182416077.07}",nan,nan,{},"{1: 0.069, 2: 0.101}","{1: 0.464, 2: 0.799}"
24,"{'alpha': 1, 'delta': 2}",0.48822474479675293,2,0.098,0.082,"{1: 0.18, 2: 0.016}",nan,nan,nan,nan,nan,nan,178948636.19,3467440.879999995,"{1: 175481195.31, 2: 182416077.07}",nan,nan,{},"{1: 0.069, 2: 0.101}","{1: 0.464, 2: 0.799}"
25,"{'alpha': 1.5, 'delta': 0.05}",0.47513556480407715,1,0.8,0.0,{1: 0.8},nan,nan,nan,nan,nan,nan,204212531.95,0.0,{1: 204212531.95},nan,nan,{},{1: 0.042},{1: 0.514}
26,"{'alpha': 1.5, 'delta': 0.1}",0.48366498947143555,1,0.8,0.0,{1: 0.8},nan,nan,nan,nan,nan,nan,204212531.95,0.0,{1: 204212531.95},nan,nan,{},{1: 0.042},{1: 0.514}
27,"{'alpha': 1.5, 'delta': 0.5}",0.487011194229126,1,0.8,0.0,{1: 0.8},nan,nan,nan,nan,nan,nan,204212531.95,0.0,{1: 204212531.95},nan,nan,{},{1: 0.042},{1: 0.514}
28,"{'alpha': 1.5, 'delta': 1}",0.49085068702697754,1,0.8,0.0,{1: 0.8},nan,nan,nan,nan,nan,nan,204212531.95,0.0,{1: 204212531.95},nan,nan,{},{1: 0.042},{1: 0.514}
29,"{'alpha': 1.5, 'delta': 1.5}",0.4751017093658447,1,0.8,0.0,{1: 0.8},nan,nan,nan,nan,nan,nan,204212531.95,0.0,{1: 204212531.95},nan,nan,{},{1: 0.042},{1: 0.514}
30,"{'alpha': 1.5, 'delta': 2}",0.49020886421203613,1,0.8,0.0,{1: 0.8},nan,nan,nan,nan,nan,nan,204212531.95,0.0,{1: 204212531.95},nan,nan,{},{1: 0.042},{1: 0.514}
31,"{'alpha': 2, 'delta': 0.05}",0.49105048179626465,1,0.8,0.0,{1: 0.8},nan,nan,nan,nan,nan,nan,204212531.95,0.0,{1: 204212531.95},nan,nan,{},{1: 0.042},{1: 0.514}
32,"{'alpha': 2, 'delta': 0.1}",0.4846193790435791,1,0.8,0.0,{1: 0.8},nan,nan,nan,nan,nan,nan,204212531.95,0.0,{1: 204212531.95},nan,nan,{},{1: 0.042},{1: 0.514}
33,"{'alpha': 2, 'delta': 0.5}",0.47736215591430664,1,0.8,0.0,{1: 0.8},nan,nan,nan,nan,nan,nan,204212531.95,0.0,{1: 204212531.95},nan,nan,{},{1: 0.042},{1: 0.514}
34,"{'alpha': 2, 'delta': 1}",0.4826531410217285,1,0.8,0.0,{1: 0.8},nan,nan,nan,nan,nan,nan,204212531.95,0.0,{1: 204212531.95},nan,nan,{},{1: 0.042},{1: 0.514}
35,"{'alpha': 2, 'delta': 1.5}",0.47415709495544434,1,0.8,0.0,{1: 0.8},nan,nan,nan,nan,nan,nan,204212531.95,0.0,{1: 204212531.95},nan,nan,{},{1: 0.042},{1: 0.514}
36,"{'alpha': 2, 'delta': 2}",0.4989590644836426,1,0.8,0.0,{1: 0.8},nan,nan,nan,nan,nan,nan,204212531.95,0.0,{1: 204212531.95},nan,nan,{},{1: 0.042},{1: 0.514}
