,Run,Parameters,Execution_Time,#Triclusters,Coverage_Mean,Coverage_Std,Coverage,MSR_Mean,MSR_Std,MSR,IntraTemporal_Homogeneity,InterTemporal_Homogeneity,#Rows_Mean,#Rows_Std,#Cols_Mean,#Cols_Std,#Ctxs_Mean,#Ctxs_Std
10,11,"{'alpha': 0.1, 'delta': 1.5}",30.860756874084476,20,0.0,0.0,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}",0.2345,0.12031105518612993,"{1: 0.04, 2: 0.21, 3: 0.2, 4: 0.1, 5: 0.25, 6: 0.43, 7: 0.19, 8: 0.31, 9: 0.2, 10: 0.2, 11: 0.21, 12: 0.17, 13: 0.23, 14: 0.18, 15: 0.31, 16: 0.17, 17: 0.63, 18: 0.16, 19: 0.29, 20: 0.21}","{1: 0.405, 2: 0.197, 3: 0.225, 4: 0.296, 5: 0.244, 6: 0.385, 7: 0.405, 8: 0.113, 9: 0.324, 10: 0.407, 11: 0.187, 12: 0.19, 13: 0.115, 14: 0.295, 15: 0.341, 16: 0.361, 17: 0.398, 18: 0.696, 19: 0.359, 20: 0.591}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0}",61.3,1.4,4.0,0.0,2.0,0.0
11,12,"{'alpha': 0.1, 'delta': 2}",31.3046715259552,20,0.0,0.0,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}",0.2345,0.12031105518612993,"{1: 0.04, 2: 0.21, 3: 0.2, 4: 0.1, 5: 0.25, 6: 0.43, 7: 0.19, 8: 0.31, 9: 0.2, 10: 0.2, 11: 0.21, 12: 0.17, 13: 0.23, 14: 0.18, 15: 0.31, 16: 0.17, 17: 0.63, 18: 0.16, 19: 0.29, 20: 0.21}","{1: 0.405, 2: 0.197, 3: 0.225, 4: 0.296, 5: 0.244, 6: 0.385, 7: 0.405, 8: 0.113, 9: 0.324, 10: 0.407, 11: 0.187, 12: 0.19, 13: 0.115, 14: 0.295, 15: 0.341, 16: 0.361, 17: 0.398, 18: 0.696, 19: 0.359, 20: 0.591}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0}",61.3,1.4,4.0,0.0,2.0,0.0
12,13,"{'alpha': 0.5, 'delta': 0.05}",31.20983386039734,12,0.004,0.008,"{1: 0.03, 2: 0.004, 3: 0.008, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0}",676.1466666666666,2104.3875908299037,"{1: 0.21, 2: 0.49, 3: 0.19, 4: 7642.96, 5: 1.04, 6: 1.54, 7: 0.5, 8: 2.98, 9: 0.43, 10: 1.08, 11: 1.25, 12: 461.09}","{1: 0.303, 2: 0.258, 3: 0.301, 4: 0.938, 5: 0.245, 6: -0.022, 7: 0.148, 8: 0.648, 9: 0.214, 10: 0.364, 11: 0.52, 12: 0.098}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0}",645.3,1443.9,4.1,0.3,2.0,0.0
13,14,"{'alpha': 0.5, 'delta': 0.1}",31.12818121910095,12,0.004,0.008,"{1: 0.03, 2: 0.004, 3: 0.008, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0}",676.1466666666666,2104.3875908299037,"{1: 0.21, 2: 0.49, 3: 0.19, 4: 7642.96, 5: 1.04, 6: 1.54, 7: 0.5, 8: 2.98, 9: 0.43, 10: 1.08, 11: 1.25, 12: 461.09}","{1: 0.303, 2: 0.258, 3: 0.301, 4: 0.938, 5: 0.245, 6: -0.022, 7: 0.148, 8: 0.648, 9: 0.214, 10: 0.364, 11: 0.52, 12: 0.098}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0}",645.3,1443.9,4.1,0.3,2.0,0.0
14,15,"{'alpha': 0.5, 'delta': 0.5}",31.353269338607788,12,0.004,0.008,"{1: 0.03, 2: 0.004, 3: 0.008, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0}",676.1466666666666,2104.3875908299037,"{1: 0.21, 2: 0.49, 3: 0.19, 4: 7642.96, 5: 1.04, 6: 1.54, 7: 0.5, 8: 2.98, 9: 0.43, 10: 1.08, 11: 1.25, 12: 461.09}","{1: 0.303, 2: 0.258, 3: 0.301, 4: 0.938, 5: 0.245, 6: -0.022, 7: 0.148, 8: 0.648, 9: 0.214, 10: 0.364, 11: 0.52, 12: 0.098}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0}",645.3,1443.9,4.1,0.3,2.0,0.0
15,16,"{'alpha': 0.5, 'delta': 1}",31.88929414749145,12,0.004,0.008,"{1: 0.03, 2: 0.004, 3: 0.008, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0}",676.1466666666666,2104.3875908299037,"{1: 0.21, 2: 0.49, 3: 0.19, 4: 7642.96, 5: 1.04, 6: 1.54, 7: 0.5, 8: 2.98, 9: 0.43, 10: 1.08, 11: 1.25, 12: 461.09}","{1: 0.303, 2: 0.258, 3: 0.301, 4: 0.938, 5: 0.245, 6: -0.022, 7: 0.148, 8: 0.648, 9: 0.214, 10: 0.364, 11: 0.52, 12: 0.098}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0}",645.3,1443.9,4.1,0.3,2.0,0.0
16,17,"{'alpha': 0.5, 'delta': 1.5}",27.238768339157104,12,0.004,0.008,"{1: 0.03, 2: 0.004, 3: 0.008, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0}",676.1466666666666,2104.3875908299037,"{1: 0.21, 2: 0.49, 3: 0.19, 4: 7642.96, 5: 1.04, 6: 1.54, 7: 0.5, 8: 2.98, 9: 0.43, 10: 1.08, 11: 1.25, 12: 461.09}","{1: 0.303, 2: 0.258, 3: 0.301, 4: 0.938, 5: 0.245, 6: -0.022, 7: 0.148, 8: 0.648, 9: 0.214, 10: 0.364, 11: 0.52, 12: 0.098}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0}",645.3,1443.9,4.1,0.3,2.0,0.0
17,18,"{'alpha': 0.5, 'delta': 2}",31.314295053482056,12,0.004,0.008,"{1: 0.03, 2: 0.004, 3: 0.008, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0}",676.1466666666666,2104.3875908299037,"{1: 0.21, 2: 0.49, 3: 0.19, 4: 7642.96, 5: 1.04, 6: 1.54, 7: 0.5, 8: 2.98, 9: 0.43, 10: 1.08, 11: 1.25, 12: 461.09}","{1: 0.303, 2: 0.258, 3: 0.301, 4: 0.938, 5: 0.245, 6: -0.022, 7: 0.148, 8: 0.648, 9: 0.214, 10: 0.364, 11: 0.52, 12: 0.098}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0}",645.3,1443.9,4.1,0.3,2.0,0.0
18,19,"{'alpha': 1, 'delta': 0.05}",32.029469728469856,4,0.02,0.03,"{1: 0.071, 2: 0.006, 3: 0.001, 4: 0.001}",9957.1825,14349.007193752768,"{1: 307.77, 2: 1395.64, 3: 3388.71, 4: 34736.61}","{1: 0.999, 2: 0.998, 3: 0.997, 4: 0.898}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",1936.0,2992.5,7.0,0.0,4.8,4.8
19,20,"{'alpha': 1, 'delta': 0.1}",30.449819087982178,4,0.02,0.03,"{1: 0.071, 2: 0.006, 3: 0.001, 4: 0.001}",9957.1825,14349.007193752768,"{1: 307.77, 2: 1395.64, 3: 3388.71, 4: 34736.61}","{1: 0.999, 2: 0.998, 3: 0.997, 4: 0.898}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",1936.0,2992.5,7.0,0.0,4.8,4.8
20,21,"{'alpha': 1, 'delta': 0.5}",30.04092121124268,4,0.02,0.03,"{1: 0.071, 2: 0.006, 3: 0.001, 4: 0.001}",9957.1825,14349.007193752768,"{1: 307.77, 2: 1395.64, 3: 3388.71, 4: 34736.61}","{1: 0.999, 2: 0.998, 3: 0.997, 4: 0.898}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",1936.0,2992.5,7.0,0.0,4.8,4.8
21,22,"{'alpha': 1, 'delta': 1}",25.082550764083862,4,0.02,0.03,"{1: 0.071, 2: 0.006, 3: 0.001, 4: 0.001}",9957.1825,14349.007193752768,"{1: 307.77, 2: 1395.64, 3: 3388.71, 4: 34736.61}","{1: 0.999, 2: 0.998, 3: 0.997, 4: 0.898}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",1936.0,2992.5,7.0,0.0,4.8,4.8
22,23,"{'alpha': 1, 'delta': 1.5}",29.99228143692017,4,0.02,0.03,"{1: 0.071, 2: 0.006, 3: 0.001, 4: 0.001}",9957.1825,14349.007193752768,"{1: 307.77, 2: 1395.64, 3: 3388.71, 4: 34736.61}","{1: 0.999, 2: 0.998, 3: 0.997, 4: 0.898}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",1936.0,2992.5,7.0,0.0,4.8,4.8
23,24,"{'alpha': 1, 'delta': 2}",29.79481410980225,4,0.02,0.03,"{1: 0.071, 2: 0.006, 3: 0.001, 4: 0.001}",9957.1825,14349.007193752768,"{1: 307.77, 2: 1395.64, 3: 3388.71, 4: 34736.61}","{1: 0.999, 2: 0.998, 3: 0.997, 4: 0.898}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",1936.0,2992.5,7.0,0.0,4.8,4.8
24,25,"{'alpha': 1.5, 'delta': 0.05}",22.876328945159912,3,0.309,0.39899999999999997,"{1: 0.873, 2: 0.052, 3: 0.003}",7724262.09,9938445.913690902,"{1: 98880.06, 2: 1312021.69, 3: 21761884.52}","{1: 0.921, 2: 0.945, 3: 0.731}","{1: 1.0, 2: 1.0, 3: 1.0}",2581.3,3327.9,12.3,0.9,13.0,0.0
25,26,"{'alpha': 1.5, 'delta': 0.1}",22.463029623031613,3,0.309,0.39899999999999997,"{1: 0.873, 2: 0.052, 3: 0.003}",7724262.09,9938445.913690902,"{1: 98880.06, 2: 1312021.69, 3: 21761884.52}","{1: 0.921, 2: 0.945, 3: 0.731}","{1: 1.0, 2: 1.0, 3: 1.0}",2581.3,3327.9,12.3,0.9,13.0,0.0
26,27,"{'alpha': 1.5, 'delta': 0.5}",21.8096776008606,3,0.309,0.39899999999999997,"{1: 0.873, 2: 0.052, 3: 0.003}",7724262.09,9938445.913690902,"{1: 98880.06, 2: 1312021.69, 3: 21761884.52}","{1: 0.921, 2: 0.945, 3: 0.731}","{1: 1.0, 2: 1.0, 3: 1.0}",2581.3,3327.9,12.3,0.9,13.0,0.0
