Algorithm,Parameters,Execution_Time,#Triclusters,Clustering_Error_3D,Coverage_Mean,Coverage_Std,#Rows_Mean,#Rows_Std,#Cols_Mean,#COls_Std,#Ctxs_Mean,#Ctxs_Std,MSR_Mean,MSR_Std,Recoverability_Mean,Recoverability_Std,Recoverability,IntraTemporal_Homogeneity_Mean,IntraTemporal_Homogeneity_Std,InterTemporal_Homogeneity_Mean,InterTemporal_Homogeneity_Std
Tricluster,"{'w': 0.07, 'd': 1, 'm': 1}",1.29,118,0.722,0.3,0.1,9.2,1.6,4.1,0.3,2.1,0.3,11541357.171118645,20931798.681950126,0.44299999999999995,0.35600000000000004,"{44: 0.0, 45: 0.53, 46: 0.78, 47: 0.8, 48: 0.67, 49: 0.0, 50: 0.39, 51: 0.48, 52: 0.89, 53: 0.8, 10: 0.58, 54: 0.0, 11: 0.8, 55: 0.9, 12: 0.0, 56: 0.0, 13: 0.05, 57: 0.0, 14: 0.0, 58: 0.0, 15: 0.0, 59: 0.64, 16: 0.71, 17: 0.48, 18: 0.8, 19: 0.8, 0: 0.43, 1: 0.91, 2: 0.91, 3: 0.48, 4: 0.59, 5: 0.73, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.61, 60: 0.6, 61: 0.55, 62: 0.73, 63: 0.64, 20: 0.73, 64: 0.0, 21: 0.82, 65: 1.0, 22: 0.0, 66: 0.41, 23: 0.03, 67: 0.17, 24: 1.0, 68: 0.0, 25: 0.82, 69: 0.73, 26: 0.03, 27: 0.13, 28: 0.0, 29: 0.02, 30: 0.58, 31: 0.47, 32: 0.82, 33: 0.89, 34: 0.82, 35: 0.0, 36: 1.0, 37: 0.53, 38: 0.33, 39: 0.67, 40: 0.0, 41: 0.73, 42: 0.0, 43: 0.0}",0.933135593220339,0.08469986044995181,0.7383050847457627,0.3480680458623235
TWIGS,"{'min_rows': 8, 'min_cols': 4, 'max_num_bics': 77, 'gibbs_reps': 250, 'method': 'isa'}",1904.9400503635406,14,0.9570000000000001,4.2,2.8,54.9,40.2,5.9,1.2,3.4,0.9,186491325.68642852,27834722.10768961,0.22399999999999998,0.196,"{44: 0.06, 45: 0.15, 46: 0.17, 47: 0.4, 48: 0.6, 49: 0.09, 50: 0.15, 51: 0.09, 52: 0.11, 53: 0.17, 10: 0.15, 54: 0.28, 11: 0.15, 55: 0.24, 12: 0.12, 56: 0.07, 13: 0.15, 57: 0.15, 14: 0.07, 58: 0.08, 15: 0.28, 59: 0.16, 16: 0.12, 17: 0.16, 18: 0.2, 19: 0.23, 0: 0.08, 1: 0.07, 2: 0.23, 3: 0.15, 4: 0.22, 5: 0.22, 6: 0.17, 7: 0.25, 8: 0.3, 9: 0.22, 60: 0.3, 61: 0.36, 62: 0.14, 63: 0.2, 20: 0.67, 64: 0.15, 21: 0.12, 65: 0.44, 22: 0.23, 66: 0.12, 23: 0.2, 67: 0.11, 24: 0.14, 68: 0.27, 25: 0.09, 69: 1.0, 26: 0.1, 27: 0.2, 28: 0.09, 29: 0.14, 30: 0.8, 31: 0.09, 32: 0.27, 33: 0.22, 34: 1.0, 35: 0.09, 36: 0.15, 37: 0.18, 38: 0.07, 39: 0.13, 40: 0.67, 41: 0.14, 42: 0.04, 43: 0.22}",0.36214285714285716,0.11833237519972362,0.5135714285714287,0.23888452508802369
TriWclustering,"{'alpha': 1, 'delta': 1.5, 'ite': 77}",0.614,3,0.9890000000000001,8.5,9.5,166.7,204.6,7.3,1.9,2.7,0.9,153740593.01666665,78799394.30783586,0.254,0.19,"{44: 0.25, 45: 0.6, 46: 0.0, 47: 0.0, 48: 0.27, 49: 0.25, 50: 0.18, 51: 0.45, 52: 0.0, 53: 0.25, 10: 0.05, 54: 0.0, 11: 0.0, 55: 0.1, 12: 0.38, 56: 0.0, 13: 0.4, 57: 0.2, 14: 0.4, 58: 0.0, 15: 0.22, 59: 0.1, 16: 0.53, 17: 0.13, 18: 0.2, 19: 0.2, 0: 0.2, 1: 0.23, 2: 0.5, 3: 0.12, 4: 0.3, 5: 0.36, 6: 0.75, 7: 0.75, 8: 0.5, 9: 0.53, 60: 0.45, 61: 0.14, 62: 0.38, 63: 0.15, 20: 0.11, 64: 0.12, 21: 0.15, 65: 0.19, 22: 0.23, 66: 0.2, 23: 0.23, 67: 0.0, 24: 0.5, 68: 0.3, 25: 0.31, 69: 0.41, 26: 0.05, 27: 0.2, 28: 0.09, 29: 0.38, 30: 0.18, 31: 0.67, 32: 0.25, 33: 0.67, 34: 0.0, 35: 0.31, 36: 0.26, 37: 0.0, 38: 0.4, 39: 0.17, 40: 0.07, 41: 0.38, 42: 0.21, 43: 0.2}",0.3933333333333333,0.430219582177391,0.6633333333333334,0.036817870057290855
