Run,Parameters,Execution_Time,#Triclusters,Coverage_Mean,Coverage_Std,Coverage,MSR_Mean,MSR_Std,MSR,IntraTemporal_Homogeneity,InterTemporal_Homogeneity
1,"{'min_rows': 50, 'min_cols': 4, 'max_num_bics': 20, 'gibbs_reps': 50, 'method': 'isa'}",6747.89480638504,3,0.057,0.036,"{1: 0.078, 2: 0.087, 3: 0.006}",1198413.3299999998,841562.8495082809,"{1: 1781974.33, 2: 1804928.14, 3: 8337.52}","{1: 0.944, 2: 0.92, 3: 0.994}","{1: 1.0, 2: 1.0, 3: 1.0}"
2,"{'min_rows': 50, 'min_cols': 4, 'max_num_bics': 20, 'gibbs_reps': 100, 'method': 'isa'}",6972.95463013649,2,0.081,0.005,"{1: 0.087, 2: 0.076}",1273636.835,390441.74500000005,"{1: 1664078.58, 2: 883195.09}","{1: 0.944, 2: 0.537}","{1: 1.0, 2: 1.0}"
3,"{'min_rows': 50, 'min_cols': 4, 'max_num_bics': 20, 'gibbs_reps': 150, 'method': 'isa'}",7836.9587144851685,2,0.077,0.008,"{1: 0.068, 2: 0.085}",875498.385,94759.47499999998,"{1: 970257.86, 2: 780738.91}","{1: 0.565, 2: 0.531}","{1: 1.0, 2: 1.0}"
4,"{'min_rows': 50, 'min_cols': 4, 'max_num_bics': 20, 'gibbs_reps': 200, 'method': 'isa'}",15044.450847625732,2,0.09,0.004,"{1: 0.094, 2: 0.085}",1182321.475,412845.235,"{1: 1595166.71, 2: 769476.24}","{1: 0.94, 2: 0.549}","{1: 1.0, 2: 1.0}"
5,"{'min_rows': 50, 'min_cols': 4, 'max_num_bics': 20, 'gibbs_reps': 50, 'method': 'bimax'}",3380.804374217987,2,0.04,0.018,"{1: 0.058, 2: 0.021}",1265835.325,236388.80499999993,"{1: 1029446.52, 2: 1502224.13}","{1: 0.424, 2: 0.434}","{1: 1.0, 2: 1.0}"
6,"{'min_rows': 50, 'min_cols': 4, 'max_num_bics': 20, 'gibbs_reps': 100, 'method': 'bimax'}",5459.244277238846,2,0.051,0.007,"{1: 0.058, 2: 0.044}",1090573.25,72782.58000000002,"{1: 1017790.67, 2: 1163355.83}","{1: 0.43, 2: 0.506}","{1: 1.0, 2: 1.0}"
7,"{'min_rows': 50, 'min_cols': 4, 'max_num_bics': 20, 'gibbs_reps': 150, 'method': 'bimax'}",8539.18885231018,2,0.057,0.002,"{1: 0.059, 2: 0.055}",1024963.4850000001,22148.32500000001,"{1: 1002815.16, 2: 1047111.81}","{1: 0.437, 2: 0.513}","{1: 1.0, 2: 1.0}"
8,"{'min_rows': 50, 'min_cols': 4, 'max_num_bics': 20, 'gibbs_reps': 200, 'method': 'bimax'}",10323.589087724686,2,0.054,0.007,"{1: 0.061, 2: 0.047}",1046060.715,32289.19499999995,"{1: 1078349.91, 2: 1013771.52}","{1: 0.443, 2: 0.507}","{1: 1.0, 2: 1.0}"
