Run,Parameters,Execution_Time,#Triclusters,Coverage_Mean,Coverage_Std,Coverage,#Rows_Mean,#Rows_Std,#Cols_Mean,#COls_Std,#Ctxs_Mean,#Ctxs_Std,MSR_Mean,MSR_Std,MSR,Recoverability_Mean,Recoverability_Std,Recoverability,IntraTemporal_Homogeneity,InterTemporal_Homogeneity
1,"{'min_rows': 8, 'min_cols': 4, 'max_num_bics': 10, 'gibbs_reps': 50, 'method': 'isa'}",295.3927278518677,10,0.077,0.066,"{1: 0.048, 2: 0.043, 3: 0.029, 4: 0.027, 5: 0.072, 6: 0.084, 7: 0.113, 8: 0.046, 9: 0.05, 10: 0.262}",nan,nan,nan,nan,nan,nan,197817508.53500003,5276217.583676633,"{1: 203020371.1, 2: 201950757.23, 3: 201390212.93, 4: 189973310.7, 5: 192946427.78, 6: 194349206.18, 7: 200775520.37, 8: 203767373.0, 9: 189336930.61, 10: 200664975.45}",nan,nan,{},"{1: 0.396, 2: 0.438, 3: 0.444, 4: 0.475, 5: 0.276, 6: 0.285, 7: 0.272, 8: 0.389, 9: 0.33, 10: 0.168}","{1: 0.167, 2: 0.161, 3: 0.357, 4: 0.455, 5: 0.473, 6: 0.275, 7: 0.22, 8: 0.29, 9: 0.199, 10: 0.334}"
2,"{'min_rows': 8, 'min_cols': 4, 'max_num_bics': 10, 'gibbs_reps': 100, 'method': 'isa'}",62.6856164932251,0,nan,nan,{},nan,nan,nan,nan,nan,nan,nan,nan,{},nan,nan,{},{},{}
3,"{'min_rows': 8, 'min_cols': 4, 'max_num_bics': 10, 'gibbs_reps': 150, 'method': 'isa'}",764.7682032585144,10,0.048,0.041,"{1: 0.112, 2: 0.011, 3: 0.028, 4: 0.022, 5: 0.034, 6: 0.04, 7: 0.077, 8: 0.017, 9: 0.13, 10: 0.014}",nan,nan,nan,nan,nan,nan,195911642.04099998,14526558.306192882,"{1: 191087726.62, 2: 223662309.83, 3: 183370934.16, 4: 204052342.83, 5: 202848723.83, 6: 168228565.03, 7: 208683035.53, 8: 185482090.66, 9: 193988697.31, 10: 197711994.61}",nan,nan,{},"{1: 0.287, 2: 0.283, 3: 0.466, 4: 0.354, 5: 0.401, 6: 0.353, 7: 0.319, 8: 0.512, 9: 0.195, 10: 0.529}","{1: 0.337, 2: 0.42, 3: 0.461, 4: 0.385, 5: 0.194, 6: 0.504, 7: 0.043, 8: 0.221, 9: 0.127, 10: 0.32}"
4,"{'min_rows': 8, 'min_cols': 4, 'max_num_bics': 10, 'gibbs_reps': 200, 'method': 'isa'}",331.7625515460968,2,0.021,0.001,"{1: 0.02, 2: 0.022}",nan,nan,nan,nan,nan,nan,204508624.39499998,7565367.165000007,"{1: 196943257.23, 2: 212073991.56}",nan,nan,{},"{1: 0.443, 2: 0.5}","{1: 0.525, 2: 0.123}"
5,"{'min_rows': 8, 'min_cols': 4, 'max_num_bics': 10, 'gibbs_reps': 50, 'method': 'bimax'}",92.09361100196838,2,0.02,0.001,"{1: 0.02, 2: 0.021}",nan,nan,nan,nan,nan,nan,213066872.62,5458587.579999998,"{1: 207608285.04, 2: 218525460.2}",nan,nan,{},"{1: 0.33, 2: 0.239}","{1: 0.303, 2: 0.459}"
6,"{'min_rows': 8, 'min_cols': 4, 'max_num_bics': 10, 'gibbs_reps': 100, 'method': 'bimax'}",191.67565727233887,1,0.02,0.0,{1: 0.02},nan,nan,nan,nan,nan,nan,203847031.98,0.0,{1: 203847031.98},nan,nan,{},{1: 0.288},{1: 0.423}
7,"{'min_rows': 8, 'min_cols': 4, 'max_num_bics': 10, 'gibbs_reps': 150, 'method': 'bimax'}",145.5119047164917,0,nan,nan,{},nan,nan,nan,nan,nan,nan,nan,nan,{},nan,nan,{},{},{}
8,"{'min_rows': 8, 'min_cols': 4, 'max_num_bics': 10, 'gibbs_reps': 200, 'method': 'bimax'}",189.43872451782227,0,nan,nan,{},nan,nan,nan,nan,nan,nan,nan,nan,{},nan,nan,{},{},{}
