Algorithm,Parameters,Execution_Time,#Triclusters,Clustering_Error_3D,Coverage_Mean,Coverage_Std,#Rows_Mean,#Rows_Std,#Cols_Mean,#COls_Std,#Ctxs_Mean,#Ctxs_Std,MSR_Mean,MSR_Std,Recoverability_Mean,Recoverability_Std,Recoverability,IntraTemporal_Homogeneity_Mean,IntraTemporal_Homogeneity_Std,InterTemporal_Homogeneity_Mean,InterTemporal_Homogeneity_Std
Tricluster,"{'w': 0.05, 'd': 1, 'm': 1}",0.48100000000000004,123,0.727,0.3,0.1,9.2,1.6,4.2,0.4,2.2,0.4,30809774.10049594,50866261.21923421,0.46299999999999997,0.353,"{44: 0.62, 45: 0.89, 46: 0.0, 47: 0.82, 48: 0.0, 49: 0.03, 50: 0.0, 51: 0.59, 52: 0.9, 53: 0.61, 10: 0.89, 54: 0.0, 11: 0.0, 55: 0.0, 12: 0.4, 56: 0.73, 13: 0.0, 57: 0.0, 14: 0.67, 58: 0.64, 15: 0.48, 59: 0.0, 16: 0.65, 17: 0.0, 18: 0.89, 19: 0.05, 0: 0.8, 1: 0.82, 2: 0.0, 3: 0.73, 4: 0.53, 5: 0.9, 6: 0.0, 7: 0.73, 8: 0.72, 9: 0.53, 60: 0.82, 61: 0.65, 62: 0.0, 63: 0.55, 20: 0.0, 64: 0.55, 21: 0.82, 65: 0.82, 22: 0.58, 66: 0.55, 23: 0.0, 67: 0.0, 24: 0.58, 68: 0.47, 25: 0.0, 69: 0.0, 26: 1.0, 27: 0.0, 28: 0.8, 29: 0.67, 30: 0.8, 31: 1.0, 32: 0.82, 33: 0.64, 34: 0.0, 35: 0.8, 36: 0.8, 37: 0.56, 38: 0.0, 39: 0.47, 40: 0.65, 41: 0.0, 42: 0.8, 43: 0.59}",0.9652032520325203,0.0583840605474615,0.7880487804878049,0.28246780818548933
TWIGS,"{'min_rows': 8, 'min_cols': 4, 'max_num_bics': 77, 'gibbs_reps': 50, 'method': 'isa'}",261.30789256095886,8,0.956,3.2,2.1,40.8,12.6,5.4,1.9,3.5,0.9,176432937.47325003,22962377.92317936,0.17300000000000001,0.18600000000000003,"{44: 1.0, 45: 0.18, 46: 0.23, 47: 0.19, 48: 0.07, 49: 0.19, 50: 0.09, 51: 0.06, 52: 0.24, 53: 0.24, 10: 0.44, 54: 0.1, 11: 0.16, 55: 0.07, 12: 0.1, 56: 0.06, 13: 0.11, 57: 0.14, 14: 0.05, 58: 0.08, 15: 0.24, 59: 0.0, 16: 0.14, 17: 0.07, 18: 0.12, 19: 0.07, 0: 0.2, 1: 0.14, 2: 0.05, 3: 0.1, 4: 0.0, 5: 0.1, 6: 0.15, 7: 0.16, 8: 0.12, 9: 0.13, 60: 0.11, 61: 0.07, 62: 0.17, 63: 0.14, 20: 0.12, 64: 0.64, 21: 0.02, 65: 0.27, 22: 0.09, 66: 0.09, 23: 0.05, 67: 0.8, 24: 0.4, 68: 0.37, 25: 0.12, 69: 0.23, 26: 0.07, 27: 0.11, 28: 0.1, 29: 0.12, 30: 0.07, 31: 0.3, 32: 0.07, 33: 0.08, 34: 0.07, 35: 0.18, 36: 0.1, 37: 0.9, 38: 0.08, 39: 0.04, 40: 0.09, 41: 0.15, 42: 0.2, 43: 0.11}",0.405,0.1287439318958373,0.44375,0.2102342443561467
TriWclustering,"{'alpha': 1, 'delta': 2, 'ite': 77}",0.691,3,0.99,19.5,22.6,166.7,186.1,8.7,0.9,3.7,0.9,224659290.43000004,33164420.72653945,0.523,0.237,"{44: 0.44, 45: 0.52, 46: 0.0, 47: 0.36, 48: 0.45, 49: 0.88, 50: 0.44, 51: 0.67, 52: 0.32, 53: 0.67, 10: 0.89, 54: 1.0, 11: 0.3, 55: 0.3, 12: 0.42, 56: 0.61, 13: 0.45, 57: 0.5, 14: 0.37, 58: 0.5, 15: 0.6, 59: 0.3, 16: 0.45, 17: 0.4, 18: 0.33, 19: 0.4, 0: 1.0, 1: 0.0, 2: 0.45, 3: 0.91, 4: 0.29, 5: 0.45, 6: 0.36, 7: 0.67, 8: 0.9, 9: 0.29, 60: 0.5, 61: 0.61, 62: 0.09, 63: 0.67, 20: 0.29, 64: 0.55, 21: 0.41, 65: 0.55, 22: 0.61, 66: 0.67, 23: 0.67, 67: 0.33, 24: 0.24, 68: 0.26, 25: 0.88, 69: 0.44, 26: 0.58, 27: 0.48, 28: 0.5, 29: 0.5, 30: 1.0, 31: 0.9, 32: 0.45, 33: 0.2, 34: 0.52, 35: 0.67, 36: 0.58, 37: 0.8, 38: 0.25, 39: 0.67, 40: 0.45, 41: 0.4, 42: 1.0, 43: 1.0}",0.2933333333333334,0.27535835237417844,0.66,0.10708252269472673
