Run,Parameters,Execution_Time,#Triclusters,Coverage_Mean,Coverage_Std,Coverage,MSR_Mean,MSR_Std,MSR,IntraTemporal_Homogeneity,InterTemporal_Homogeneity
11,"{'alpha': 0.1, 'delta': 1.5}",30.860756874084473,20,0.0,0.0,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}",0.23450000000000001,0.12031105518612992,"{1: 0.04, 2: 0.21, 3: 0.2, 4: 0.1, 5: 0.25, 6: 0.43, 7: 0.19, 8: 0.31, 9: 0.2, 10: 0.2, 11: 0.21, 12: 0.17, 13: 0.23, 14: 0.18, 15: 0.31, 16: 0.17, 17: 0.63, 18: 0.16, 19: 0.29, 20: 0.21}","{1: 0.405, 2: 0.197, 3: 0.225, 4: 0.296, 5: 0.244, 6: 0.385, 7: 0.405, 8: 0.113, 9: 0.324, 10: 0.407, 11: 0.187, 12: 0.19, 13: 0.115, 14: 0.295, 15: 0.341, 16: 0.361, 17: 0.398, 18: 0.696, 19: 0.359, 20: 0.591}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0}"
12,"{'alpha': 0.1, 'delta': 2}",31.3046715259552,20,0.0,0.0,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}",0.23450000000000001,0.12031105518612992,"{1: 0.04, 2: 0.21, 3: 0.2, 4: 0.1, 5: 0.25, 6: 0.43, 7: 0.19, 8: 0.31, 9: 0.2, 10: 0.2, 11: 0.21, 12: 0.17, 13: 0.23, 14: 0.18, 15: 0.31, 16: 0.17, 17: 0.63, 18: 0.16, 19: 0.29, 20: 0.21}","{1: 0.405, 2: 0.197, 3: 0.225, 4: 0.296, 5: 0.244, 6: 0.385, 7: 0.405, 8: 0.113, 9: 0.324, 10: 0.407, 11: 0.187, 12: 0.19, 13: 0.115, 14: 0.295, 15: 0.341, 16: 0.361, 17: 0.398, 18: 0.696, 19: 0.359, 20: 0.591}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0}"
13,"{'alpha': 0.5, 'delta': 0.05}",31.20983386039734,12,0.004,0.008,"{1: 0.03, 2: 0.004, 3: 0.008, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0}",676.1466666666666,2104.387590829904,"{1: 0.21, 2: 0.49, 3: 0.19, 4: 7642.96, 5: 1.04, 6: 1.54, 7: 0.5, 8: 2.98, 9: 0.43, 10: 1.08, 11: 1.25, 12: 461.09}","{1: 0.303, 2: 0.258, 3: 0.301, 4: 0.938, 5: 0.245, 6: -0.022, 7: 0.148, 8: 0.648, 9: 0.214, 10: 0.364, 11: 0.52, 12: 0.098}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0}"
14,"{'alpha': 0.5, 'delta': 0.1}",31.128181219100952,12,0.004,0.008,"{1: 0.03, 2: 0.004, 3: 0.008, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0}",676.1466666666666,2104.387590829904,"{1: 0.21, 2: 0.49, 3: 0.19, 4: 7642.96, 5: 1.04, 6: 1.54, 7: 0.5, 8: 2.98, 9: 0.43, 10: 1.08, 11: 1.25, 12: 461.09}","{1: 0.303, 2: 0.258, 3: 0.301, 4: 0.938, 5: 0.245, 6: -0.022, 7: 0.148, 8: 0.648, 9: 0.214, 10: 0.364, 11: 0.52, 12: 0.098}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0}"
15,"{'alpha': 0.5, 'delta': 0.5}",31.353269338607788,12,0.004,0.008,"{1: 0.03, 2: 0.004, 3: 0.008, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0}",676.1466666666666,2104.387590829904,"{1: 0.21, 2: 0.49, 3: 0.19, 4: 7642.96, 5: 1.04, 6: 1.54, 7: 0.5, 8: 2.98, 9: 0.43, 10: 1.08, 11: 1.25, 12: 461.09}","{1: 0.303, 2: 0.258, 3: 0.301, 4: 0.938, 5: 0.245, 6: -0.022, 7: 0.148, 8: 0.648, 9: 0.214, 10: 0.364, 11: 0.52, 12: 0.098}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0}"
16,"{'alpha': 0.5, 'delta': 1}",31.889294147491455,12,0.004,0.008,"{1: 0.03, 2: 0.004, 3: 0.008, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0}",676.1466666666666,2104.387590829904,"{1: 0.21, 2: 0.49, 3: 0.19, 4: 7642.96, 5: 1.04, 6: 1.54, 7: 0.5, 8: 2.98, 9: 0.43, 10: 1.08, 11: 1.25, 12: 461.09}","{1: 0.303, 2: 0.258, 3: 0.301, 4: 0.938, 5: 0.245, 6: -0.022, 7: 0.148, 8: 0.648, 9: 0.214, 10: 0.364, 11: 0.52, 12: 0.098}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0}"
17,"{'alpha': 0.5, 'delta': 1.5}",27.238768339157104,12,0.004,0.008,"{1: 0.03, 2: 0.004, 3: 0.008, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0}",676.1466666666666,2104.387590829904,"{1: 0.21, 2: 0.49, 3: 0.19, 4: 7642.96, 5: 1.04, 6: 1.54, 7: 0.5, 8: 2.98, 9: 0.43, 10: 1.08, 11: 1.25, 12: 461.09}","{1: 0.303, 2: 0.258, 3: 0.301, 4: 0.938, 5: 0.245, 6: -0.022, 7: 0.148, 8: 0.648, 9: 0.214, 10: 0.364, 11: 0.52, 12: 0.098}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0}"
18,"{'alpha': 0.5, 'delta': 2}",31.314295053482056,12,0.004,0.008,"{1: 0.03, 2: 0.004, 3: 0.008, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0}",676.1466666666666,2104.387590829904,"{1: 0.21, 2: 0.49, 3: 0.19, 4: 7642.96, 5: 1.04, 6: 1.54, 7: 0.5, 8: 2.98, 9: 0.43, 10: 1.08, 11: 1.25, 12: 461.09}","{1: 0.303, 2: 0.258, 3: 0.301, 4: 0.938, 5: 0.245, 6: -0.022, 7: 0.148, 8: 0.648, 9: 0.214, 10: 0.364, 11: 0.52, 12: 0.098}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0}"
19,"{'alpha': 1, 'delta': 0.05}",32.02946972846985,4,0.02,0.03,"{1: 0.071, 2: 0.006, 3: 0.001, 4: 0.001}",9957.1825,14349.00719375277,"{1: 307.77, 2: 1395.64, 3: 3388.71, 4: 34736.61}","{1: 0.999, 2: 0.998, 3: 0.997, 4: 0.898}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}"
20,"{'alpha': 1, 'delta': 0.1}",30.449819087982178,4,0.02,0.03,"{1: 0.071, 2: 0.006, 3: 0.001, 4: 0.001}",9957.1825,14349.00719375277,"{1: 307.77, 2: 1395.64, 3: 3388.71, 4: 34736.61}","{1: 0.999, 2: 0.998, 3: 0.997, 4: 0.898}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}"
