Algorithm,Parameters,Execution_Time,#Triclusters,Clustering_Error_3D,Coverage_Mean,Coverage_Std,#Rows_Mean,#Rows_Std,#Cols_Mean,#COls_Std,#Ctxs_Mean,#Ctxs_Std,MSR_Mean,MSR_Std,Recoverability_Mean,Recoverability_Std,Recoverability,IntraTemporal_Homogeneity_Mean,IntraTemporal_Homogeneity_Std,InterTemporal_Homogeneity_Mean,InterTemporal_Homogeneity_Std
Tricluster,"{'w': 0.05, 'd': 1, 'm': 1}",0.37799999999999995,69,0.7390000000000001,0.4,0.1,9.6,2.4,4.1,0.3,2.1,0.4,2916700.8968550717,8072902.084368512,0.332,0.35200000000000004,"{44: 0.0, 45: 0.58, 46: 0.06, 47: 0.67, 48: 0.73, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.67, 53: 0.8, 10: 0.67, 54: 0.0, 11: 0.71, 55: 1.0, 12: 0.0, 56: 0.29, 13: 0.61, 57: 0.0, 14: 0.0, 58: 0.82, 15: 0.0, 59: 0.64, 16: 0.0, 17: 1.0, 18: 0.06, 19: 0.53, 0: 0.0, 1: 0.0, 2: 0.65, 3: 0.82, 4: 0.8, 5: 0.73, 6: 0.53, 7: 0.0, 8: 0.0, 9: 0.0, 60: 0.03, 61: 0.0, 62: 1.0, 63: 0.43, 20: 0.0, 64: 0.0, 21: 0.0, 65: 0.9, 22: 0.0, 66: 1.0, 23: 0.64, 67: 0.42, 24: 0.55, 68: 0.0, 25: 0.0, 69: 0.08, 26: 0.47, 27: 0.65, 28: 0.27, 29: 0.73, 30: 0.53, 31: 0.65, 32: 0.0, 33: 0.0, 34: 0.4, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.47, 39: 0.0, 40: 0.0, 41: 0.64, 42: 0.0, 43: 0.0}",0.9707246376811592,0.04486110095051071,0.763768115942029,0.33214324415164725
TWIGS,"{'min_rows': 8, 'min_cols': 4, 'max_num_bics': 77, 'gibbs_reps': 200, 'method': 'isa'}",1619.609834909439,15,0.971,3.5000000000000004,2.6,50.0,36.1,5.4,1.4,3.5,1.1,188936831.4076,22660997.145490207,0.20600000000000002,0.109,"{44: 0.15, 45: 0.07, 46: 0.3, 47: 0.38, 48: 0.09, 49: 0.11, 50: 0.12, 51: 0.17, 52: 0.12, 53: 0.07, 10: 0.09, 54: 0.25, 11: 0.18, 55: 0.67, 12: 0.12, 56: 0.15, 13: 0.2, 57: 0.27, 14: 0.25, 58: 0.14, 15: 0.12, 59: 0.12, 16: 0.25, 17: 0.25, 18: 0.11, 19: 0.12, 0: 0.32, 1: 0.08, 2: 0.36, 3: 0.14, 4: 0.1, 5: 0.15, 6: 0.07, 7: 0.3, 8: 0.15, 9: 0.24, 60: 0.14, 61: 0.45, 62: 0.16, 63: 0.21, 20: 0.28, 64: 0.33, 21: 0.15, 65: 0.07, 22: 0.15, 66: 0.18, 23: 0.24, 67: 0.2, 24: 0.36, 68: 0.19, 25: 0.2, 69: 0.22, 26: 0.09, 27: 0.29, 28: 0.24, 29: 0.27, 30: 0.15, 31: 0.09, 32: 0.18, 33: 0.25, 34: 0.23, 35: 0.11, 36: 0.28, 37: 0.38, 38: 0.36, 39: 0.14, 40: 0.47, 41: 0.18, 42: 0.23, 43: 0.15}",0.32399999999999995,0.09112628599915615,0.48799999999999993,0.23819319889535048
TriWclustering,"{'alpha': 1, 'delta': 2, 'ite': 77}",0.695,3,0.9890000000000001,20.4,27.200000000000003,166.7,207.9,6.0,1.4,3.3,0.5,164813152.22333333,57181893.29227756,0.614,0.203,"{44: 0.75, 45: 0.73, 46: 0.32, 47: 0.25, 48: 0.33, 49: 1.0, 50: 0.54, 51: 0.44, 52: 0.67, 53: 0.38, 10: 0.5, 54: 0.68, 11: 0.8, 55: 0.47, 12: 0.44, 56: 0.91, 13: 0.55, 57: 1.0, 14: 0.38, 58: 0.31, 15: 0.4, 59: 0.36, 16: 0.56, 17: 0.44, 18: 0.67, 19: 0.53, 0: 0.8, 1: 0.33, 2: 1.0, 3: 0.68, 4: 0.88, 5: 0.53, 6: 0.75, 7: 0.8, 8: 0.5, 9: 0.67, 60: 0.41, 61: 0.75, 62: 0.5, 63: 0.48, 20: 0.75, 64: 0.39, 21: 0.4, 65: 0.9, 22: 0.67, 66: 0.67, 23: 0.8, 67: 0.67, 24: 0.55, 68: 0.66, 25: 0.5, 69: 0.75, 26: 0.53, 27: 0.8, 28: 0.8, 29: 0.4, 30: 0.62, 31: 0.8, 32: 0.71, 33: 0.58, 34: 0.8, 35: 0.33, 36: 0.66, 37: 0.56, 38: 1.0, 39: 0.34, 40: 0.44, 41: 0.4, 42: 1.0, 43: 1.0}",0.37666666666666665,0.34586445643087155,0.7733333333333333,0.09104333522498445
